file_id,file_name,file_type,source,file_path,size_kb,created_at
88,30304575.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/30304575.pdf,28.0,2026-06-13 20:08:09
89,30361788.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/30361788.pdf,16.81,2026-06-13 20:08:09
90,30813919.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/30813919.pdf,37.11,2026-06-13 20:08:09
91,31602598.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/31602598.pdf,32.39,2026-06-13 20:08:09
92,33527446.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/33527446.pdf,23.44,2026-06-13 20:08:09
93,34198885.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/34198885.pdf,20.89,2026-06-13 20:08:09
94,34816637.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/34816637.pdf,19.2,2026-06-13 20:08:09
95,35554162.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/35554162.pdf,23.62,2026-06-13 20:08:09
96,36024962.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/36024962.pdf,16.12,2026-06-13 20:08:09
97,36425270.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/36425270.pdf,21.54,2026-06-13 20:08:09
98,37370455.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/37370455.pdf,29.83,2026-06-13 20:08:09
99,37997506.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/37997506.pdf,23.21,2026-06-13 20:08:09
100,38847011.pdf,pdf,real_pdf_dataset,data/raw_resumes/real/dataset1_pdf_categories/ACCOUNTANT/38847011.pdf,24.59,2026-06-13 20:08:09
